theta,gamma,z_H,k,l,w,r,b,welfare,cv
0.0,0.42,3.0,4.77375120007237,0.36851822747865665,1.6093268773415845,0.009882105952183654,0.0,-37.19444023894414,0.697043165655754
0.11,0.42,0.5,0.9745042114345418,0.16349852170757226,1.216962327644801,0.0548496751528576,0.0897114483522886,-46.480812961763384,0.9771789108579864
0.0,0.42,0.5,1.2860064467889956,0.17725498671919418,1.3062071602518417,0.04127212040759849,0.0,-45.87610386290027,0.877033513297412
0.11,1.0,3.0,7.248838072630343,0.7501780793650314,1.4481629236538986,0.024301620377839214,0.4898224627613383,-23.564059717950425,0.5932423637201151
0.0,1.0,3.0,10.492430534040423,0.7528192740943362,1.6522916505476966,0.006684340751039727,0.0,-25.76175839557216,0.7061729603068061
