i_large_loan,i_medium_loan,rate_spread,i_refinance,age_r,cltv,dti,cu,first_mort_r,i_FHA,i_open_year2,i_open_year3,i_open_year4,i_open_year5,score_0,score_1,score_2,duration,nsmoid,analysis_weight,open_year,pmms,i_open,considerations,applications,i_close_first_year,i_married,i_higher_ed,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2,change_score_0,change_score_1,change_score_2
0,1,.34,0,.37,1.03,.25,2,2,1,0,0,0,0,7.4299998,7.5700002,7.48,3,200174,1706.654411764706,2013,3.409999996423721,0,2,1,0,1,1,3.75,3.895689,3.8419178,3.6166666,1,1,0,0,.14000034,.050000191
0,0,.18,0,.50999999,.69999999,.25,2,2,0,0,0,0,0,7.6100001,7.77,8.0200005,4,200364,1028.749258064516,2013,3.569999992847443,1,2,1,0,0,1,3.75,3.895689,3.8419178,3.6166666,1,1,1,0,.15999985,.41000032
0,1,.26,0,.62,.49000001,.5,2,2,0,0,0,0,0,7.6500001,7.0599999,7.04,4,200531,1028.749258064516,2013,4.36999998986721,0,3,2,0,0,0,4.6300001,3.895689,3.8419178,3.6166666,1,1,1,0,-.59000015,-.61000013
0,1,.73,1,.47,1.25,.5,2,2,0,0,0,0,0,6.3499999,6.3699999,6.46,4,203449,3025.065165876777,2013,4.399999991059303,0,2,1,0,0,0,5.1300001,3.895689,3.8419178,3.6166666,1,1,1,0,.019999981,.11000013
0,1,.23,0,.44999999,.88,.5,2,2,1,0,0,0,0,7.5300002,6.6100001,7.8200002,4,204456,1437.587274774775,2013,3.399999998509884,1,1,1,0,0,1,3.6300001,3.895689,3.8419178,3.6166666,1,1,1,0,-.92000008,.28999996
0,0,1.5,0,.61000001,.63999999,0,2,2,0,0,0,0,0,7.7800002,6.8699999,7.3899999,3,204004,1905.339552238806,2013,4.219999998807907,0,1,1,0,1,0,5.7199998,3.895689,3.8419178,3.6166666,1,1,0,0,-.91000032,-.39000034
0,1,.37,0,.60000002,1.02,.5,2,2,1,0,0,0,0,7.3400002,6.8699999,7.9000001,3,201974,1028.749258064516,2013,4.509999990463257,0,2,1,0,0,1,4.8800001,3.895689,3.8419178,3.6166666,1,1,0,0,-.47000027,.55999994
0,0,.5,1,.72000003,.31,.5,2,2,0,0,0,0,0,6.8400002,8.0699997,8.0500002,4,202687,1028.749258064516,2013,3.379999995231628,1,1,1,0,1,0,3.8800001,3.895689,3.8419178,3.6166666,1,1,1,0,1.2299995,1.21
0,1,-.03,0,.62,1.02,.25,2,1,1,0,0,0,0,8.1000004,7.9000001,8.2399998,4,200600,1028.749258064516,2013,3.909999996423721,0,2,2,0,0,1,3.8800001,3.895689,3.8419178,3.6166666,1,1,1,0,-.20000029,.13999939
0,1,.47,1,.58999997,.55000001,.25,2,2,0,0,0,0,0,7.2600002,7.6300001,7.6999998,4,202382,1905.339552238806,2013,3.529999993741512,0,1,1,0,0,0,4,3.895689,3.8419178,3.6166666,1,1,1,0,.36999989,.43999958
0,1,-.46,0,.63,.73000002,.25,2,2,0,0,0,0,0,8.0500002,7.46,7.4899998,4,201819,1437.587274774775,2013,4.459999993443489,1,2,1,0,0,1,4,3.895689,3.8419178,3.6166666,1,1,1,0,-.59000015,-.56000042
0,1,.29,1,.47999999,.63,.25,2,2,0,0,0,0,0,6.79,6.5799999,7.1199999,4,202534,1905.339552238806,2013,3.339999996125698,0,1,1,0,1,0,3.6300001,3.895689,3.8419178,3.6166666,1,1,1,0,-.21000004,.32999992
0,1,.74,1,.52999997,1.08,.5,2,2,0,0,0,0,0,6.71,6.6500001,6.6599998,4,201164,1706.654411764706,2013,3.509999997913837,1,1,1,0,1,1,4.25,3.895689,3.8419178,3.6166666,1,1,1,0,-.059999943,-.050000191
0,0,.8100000000000001,0,.54000002,.75,.25,2,2,0,0,0,0,0,7.4299998,6.4200001,6.7800002,4,203547,1437.587274774775,2013,3.319999992847443,0,1,1,0,1,1,4.1300001,3.895689,3.8419178,3.6166666,1,1,1,0,-1.0099998,-.64999962
0,1,-.03,1,.70999998,.36000001,.25,2,2,0,0,0,0,0,8.0600004,8.0299997,8.21,4,202955,1028.749258064516,2013,3.529999993741512,0,1,1,0,1,0,3.5,3.895689,3.8419178,3.6166666,1,1,1,0,-.030000687,.14999962
0,1,.72,1,.54000002,.82999998,.5,2,2,0,0,0,0,0,6.9400001,6.9899998,6.6500001,4,201108,1437.587274774775,2013,3.409999996423721,1,2,2,0,1,0,4.1300001,3.895689,3.8419178,3.6166666,1,1,1,0,.049999714,-.28999996
0,0,1.5,0,.77999997,.89999998,.25,2,2,1,0,0,0,0,7.8099999,7.0300002,7.4299998,3,201678,1028.749258064516,2013,3.399999998509884,0,1,1,0,0,0,4.9000001,3.895689,3.8419178,3.6166666,1,1,0,0,-.77999973,-.38000011
0,1,-.05,0,.44999999,.75,.25,2,2,1,0,0,0,0,7.5700002,7.52,7.2600002,4,201860,1028.749258064516,2013,3.929999999701977,0,2,1,0,0,1,3.8800001,3.895689,3.8419178,3.6166666,1,1,1,0,-.050000191,-.30999994
0,0,.03,0,.61000001,.95999998,.25,2,2,1,0,0,0,0,7.1199999,6.6599998,7.1700001,4,204264,1028.749258064516,2013,3.349999994039536,0,3,1,0,0,1,3.3799999,3.895689,3.8419178,3.6166666,1,1,1,0,-.46000004,.050000191
